FechaVenta,CodigoMarca,ModeloAuto,ColorAuto,TipoAuto,Forecast_VentasUSD
10/16/2025,1,RAV4,Verde,Sedán,31042.11573
10/16/2025,3,Z4,Blanco,Coupé,62590.72605
10/16/2025,3,X5,Verde,Coupé,64784.3036
10/16/2025,4,Elantra,Rojo,SUV,26156.5704
10/16/2025,4,Kona,Blanco,Sedán,24946.871
10/16/2025,3,X5,Gris,Pickup,58353.22938
10/16/2025,1,RAV4,Verde,Pickup,31403.37492
10/16/2025,4,Tucson,Gris,Hatchback,25793.7734
10/16/2025,1,Hilux,Blanco,Camioneta,28684.21767
10/16/2025,2,Focus,Blanco,Sedán,32525.71305
10/16/2025,1,RAV4,Gris,SUV,31326.15938
10/16/2025,1,Hilux,Negro,SUV,30019.09071
10/16/2025,2,Ranger,Rojo,Sedán,34075.9372
10/16/2025,1,Corolla,Blanco,Hatchback,24517.3569
10/16/2025,2,Escape,Plateado,Pickup,33924.9751
10/16/2025,2,Escape,Blanco,SUV,32285.143
10/16/2025,2,Escape,Azul,Pickup,33373.8629
10/16/2025,3,X5,Rojo,Coupé,62999.3766
10/16/2025,4,Creta,Naranja,Camioneta,23579.08
10/16/2025,1,Yaris,Rojo,Camioneta,29473.94689
10/16/2025,4,Santa Fe,Verde,Coupé,27142.4452
10/16/2025,4,Elantra,Plateado,SUV,27644.37333
10/16/2025,4,Santa Fe,Negro,SUV,24981.85108
10/16/2025,1,Yaris,Azul,Pickup,27209.55598
10/16/2025,1,Yaris,Rojo,Pickup,30140.31841
10/16/2025,3,X3,Verde,Camioneta,63844.7434
10/16/2025,4,Santa Fe,Naranja,Hatchback,22158.66723
10/16/2025,2,Explorer,Rojo,SUV,30336.4164
10/16/2025,4,Kona,Naranja,Sedán,23547.24213
10/16/2025,2,Ranger,Verde,SUV,29727.06014
10/16/2025,1,Hilux,Naranja,Coupé,27535.51552
10/16/2025,4,Tucson,Rojo,Coupé,25736.2631
10/16/2025,1,Camry,Plateado,Sedán,27530.6412
10/16/2025,3,Serie 3,Naranja,Sedán,66192.72391
10/16/2025,4,Elantra,Azul,Hatchback,23511.56641
10/16/2025,1,Hilux,Gris,Coupé,27716.87025
10/16/2025,3,Serie 3,Gris,Camioneta,65613.0511
10/16/2025,4,Elantra,Negro,Hatchback,24614.5617
10/16/2025,1,Corolla,Rojo,Sedán,31302.14561
10/16/2025,2,Escape,Gris,Sedán,33276.50457
10/16/2025,4,Santa Fe,Negro,Camioneta,25188.06899
10/16/2025,1,Camry,Blanco,Coupé,28506.05442
10/16/2025,4,Santa Fe,Blanco,Sedán,26223.5384
10/16/2025,1,Hilux,Plateado,Camioneta,27554.40072
10/16/2025,4,Santa Fe,Naranja,Coupé,23784.3496
10/16/2025,1,Corolla,Plateado,Sedán,26417.01137
10/16/2025,2,Explorer,Azul,Pickup,31572.6256
10/16/2025,4,Tucson,Azul,SUV,25220.41073
10/16/2025,1,RAV4,Plateado,Pickup,27617.69542
10/16/2025,3,X3,Plateado,Hatchback,58723.11887
10/16/2025,1,Corolla,Gris,SUV,29932.6916
10/16/2025,1,RAV4,Verde,SUV,30735.7137
10/16/2025,4,Creta,Naranja,Hatchback,24149.4609
10/16/2025,2,Ranger,Negro,SUV,31728.17339
10/16/2025,3,X3,Blanco,Sedán,61548.3123
10/16/2025,3,X5,Verde,Camioneta,61176.8213
10/16/2025,3,X5,Blanco,SUV,60502.38543
10/16/2025,1,Camry,Verde,Pickup,29352.86422
10/16/2025,1,Camry,Naranja,Sedán,28888.28065
10/16/2025,4,Creta,Blanco,SUV,25321.89965
10/16/2025,2,Mustang,Verde,Coupé,34466.6517
10/16/2025,1,Yaris,Gris,SUV,30207.33482
10/16/2025,4,Kona,Negro,Hatchback,27810.3964
10/16/2025,4,Santa Fe,Azul,Hatchback,23968.79293
10/16/2025,3,X3,Blanco,SUV,58015.0359
10/16/2025,3,X3,Rojo,Sedán,64403.14877
10/16/2025,3,Z4,Negro,SUV,54470.18015
10/16/2025,2,Focus,Verde,Coupé,32770.8363
10/16/2025,3,X5,Naranja,Pickup,61344.56745
10/16/2025,2,Escape,Plateado,SUV,31630.4401
10/16/2025,4,Elantra,Verde,Hatchback,24775.05291
10/16/2025,3,X3,Plateado,Sedán,63135.91388
10/16/2025,1,Camry,Azul,SUV,28776.2169
10/16/2025,4,Santa Fe,Gris,Hatchback,24852.80753
10/16/2025,1,Corolla,Rojo,SUV,29099.2039
10/16/2025,3,Z4,Gris,Sedán,66933.2763
10/16/2025,4,Santa Fe,Gris,Camioneta,23924.65203
10/16/2025,3,X3,Gris,Pickup,63223.98411
10/16/2025,3,Z4,Rojo,Pickup,68699.0525
10/16/2025,4,Kona,Naranja,SUV,22995.3147
10/16/2025,2,Escape,Naranja,Hatchback,32299.9379
10/16/2025,1,Corolla,Blanco,Camioneta,28409.3028
10/16/2025,3,Serie 5,Rojo,Camioneta,59648.73615
10/16/2025,2,Mustang,Azul,Camioneta,31354.69523
10/16/2025,1,Yaris,Azul,Coupé,27628.32627
10/16/2025,3,Z4,Plateado,Pickup,62645.47333
10/16/2025,3,Z4,Blanco,Sedán,60811.15805
10/16/2025,3,Serie 3,Plateado,Camioneta,61367.4541
10/16/2025,2,Ranger,Verde,Hatchback,30685.90997
10/16/2025,1,Corolla,Rojo,Hatchback,28942.16794
10/16/2025,1,Camry,Verde,SUV,29743.2306
10/16/2025,1,Camry,Negro,Camioneta,28218.80805
10/16/2025,2,Ranger,Azul,SUV,30640.23494
10/16/2025,2,Focus,Negro,Coupé,35267.008
10/16/2025,1,Yaris,Verde,Pickup,29425.49465
10/16/2025,4,Kona,Blanco,Camioneta,22777.708
10/16/2025,1,Yaris,Blanco,Camioneta,28485.35132
10/16/2025,3,X3,Naranja,Coupé,60201.8749
10/16/2025,1,Hilux,Naranja,Pickup,27492.65682
10/16/2025,3,X5,Blanco,Hatchback,56733.26356
10/16/2025,4,Kona,Azul,SUV,23824.0287
10/16/2025,3,Serie 3,Negro,Sedán,64070.72463
10/16/2025,2,Escape,Naranja,Pickup,34257.4024
10/16/2025,3,X3,Azul,Coupé,63443.9301
10/16/2025,2,Focus,Azul,Hatchback,32376.2406
10/16/2025,1,Hilux,Negro,Pickup,27704.74302
10/16/2025,2,Explorer,Verde,Pickup,30645.2577
10/16/2025,2,Explorer,Azul,SUV,29743.93347
10/16/2025,2,Escape,Verde,Camioneta,32233.5902
10/16/2025,2,Focus,Naranja,Camioneta,31427.0094
10/16/2025,2,Explorer,Blanco,Coupé,34779.8364
10/16/2025,2,Escape,Negro,Camioneta,32050.72147
10/16/2025,3,Z4,Naranja,Camioneta,59617.90195
10/16/2025,3,Z4,Rojo,Sedán,69731.71735
10/16/2025,2,Ranger,Naranja,Hatchback,32184.29753
10/16/2025,2,Mustang,Gris,Hatchback,31454.5872
10/16/2025,1,Hilux,Verde,Coupé,29246.08452
10/16/2025,3,X5,Rojo,Pickup,62040.53955
10/16/2025,2,Focus,Verde,Hatchback,31297.4568
10/16/2025,4,Creta,Blanco,Sedán,24196.4355
10/16/2025,2,Explorer,Verde,Sedán,32391.9976
10/16/2025,1,Hilux,Rojo,Sedán,31052.441
10/16/2025,1,Camry,Azul,Hatchback,27460.73981
10/16/2025,2,Ranger,Gris,Pickup,32006.8778
10/16/2025,1,Corolla,Rojo,Coupé,28051.76085
10/16/2025,3,Serie 5,Blanco,Hatchback,58775.54507
10/16/2025,3,Z4,Negro,Hatchback,58207.31923
10/16/2025,3,Z4,Negro,Pickup,60151.95858
10/16/2025,4,Tucson,Gris,SUV,25836.9253
10/16/2025,3,Z4,Azul,Hatchback,61357.86672
10/16/2025,1,Hilux,Naranja,Sedán,30851.07495
10/16/2025,2,Ranger,Rojo,SUV,31703.12947
10/16/2025,4,Elantra,Verde,Pickup,27165.26167
10/16/2025,4,Kona,Verde,SUV,23989.9899
10/16/2025,2,Focus,Negro,Camioneta,31206.14325
10/16/2025,4,Elantra,Rojo,Pickup,23084.75092
10/16/2025,3,Z4,Naranja,Coupé,56379.8059
10/16/2025,4,Creta,Verde,Hatchback,27480.8666
10/16/2025,1,Camry,Rojo,Camioneta,30647.43995
10/16/2025,1,Hilux,Naranja,Hatchback,28163.81672
10/16/2025,1,Corolla,Plateado,Coupé,25401.08345
10/16/2025,1,RAV4,Plateado,Hatchback,27363.04594
10/16/2025,3,Serie 3,Blanco,Pickup,64041.2155
10/16/2025,3,Z4,Verde,Pickup,63295.59363
10/16/2025,3,Z4,Gris,Hatchback,63976.6217
10/16/2025,4,Kona,Gris,Coupé,26454.7415
10/16/2025,4,Tucson,Rojo,Sedán,24229.66492
10/16/2025,1,Camry,Azul,Camioneta,29152.60667
10/16/2025,1,Camry,Plateado,Hatchback,26340.10657
10/16/2025,4,Tucson,Verde,Sedán,24772.312
10/16/2025,3,Serie 3,Rojo,Camioneta,62191.17052
10/16/2025,1,Corolla,Blanco,Coupé,28644.1575
10/16/2025,4,Tucson,Rojo,Hatchback,24738.8836
10/16/2025,2,Focus,Naranja,Hatchback,31136.9633
10/16/2025,1,RAV4,Naranja,Camioneta,29192.56992
10/16/2025,2,Focus,Azul,Pickup,33216.16515
10/16/2025,4,Elantra,Negro,Camioneta,26253.623
10/16/2025,2,Explorer,Rojo,Pickup,29832.39633
10/16/2025,3,Serie 3,Blanco,Hatchback,60808.9376
10/16/2025,2,Mustang,Verde,SUV,32190.79603
10/16/2025,2,Ranger,Verde,Pickup,30627.05847
10/16/2025,4,Creta,Azul,Sedán,23428.7733
10/16/2025,3,Serie 3,Verde,Hatchback,60928.9772
10/16/2025,1,RAV4,Azul,Hatchback,28480.48838
10/16/2025,3,X3,Azul,Hatchback,60263.19767
10/16/2025,2,Ranger,Rojo,Coupé,34284.26967
10/16/2025,2,Mustang,Blanco,Hatchback,32658.29148
10/16/2025,3,Z4,Gris,SUV,62507.1382
10/16/2025,2,Mustang,Azul,Sedán,32764.64433
10/16/2025,3,Serie 5,Verde,Coupé,63556.9239
10/16/2025,2,Explorer,Naranja,SUV,33318.00923
10/16/2025,2,Explorer,Verde,SUV,31280.9798
10/16/2025,2,Ranger,Negro,Sedán,33142.01563
10/16/2025,2,Explorer,Rojo,Hatchback,31304.7263
10/16/2025,1,Hilux,Negro,Camioneta,28602.58317
10/16/2025,4,Tucson,Gris,Pickup,24227.41515
10/16/2025,4,Tucson,Verde,Pickup,25123.92735
10/16/2025,4,Santa Fe,Azul,SUV,24177.19613
10/16/2025,3,Serie 5,Verde,Sedán,63835.2897
10/16/2025,4,Tucson,Naranja,SUV,24236.69333
10/16/2025,1,Yaris,Naranja,Coupé,26296.45627
10/16/2025,4,Tucson,Azul,Sedán,25120.9178
10/16/2025,2,Escape,Negro,Sedán,31341.78421
10/16/2025,1,RAV4,Naranja,Hatchback,28545.7028
10/16/2025,3,Serie 3,Rojo,Hatchback,60751.18958
10/16/2025,4,Elantra,Naranja,Pickup,22848.11895
10/16/2025,3,Serie 5,Verde,Pickup,58049.87242
10/16/2025,1,RAV4,Blanco,Sedán,27274.4129
10/16/2025,3,Serie 5,Gris,Coupé,64353.4159
10/16/2025,2,Escape,Naranja,SUV,32784.4821
10/16/2025,4,Creta,Blanco,Camioneta,23395.43605
10/16/2025,1,Camry,Naranja,Pickup,27748.58782
10/16/2025,4,Creta,Verde,Camioneta,26132.80894
10/16/2025,4,Kona,Naranja,Hatchback,24467.4287
10/16/2025,3,X5,Gris,Camioneta,60659.7227
10/16/2025,4,Santa Fe,Rojo,Hatchback,23459.7611
10/16/2025,4,Kona,Azul,Sedán,22616.39713
10/16/2025,3,X3,Negro,Camioneta,63397.879
10/16/2025,2,Explorer,Naranja,Coupé,35909.69048
10/16/2025,1,Camry,Gris,Hatchback,27877.08624
10/16/2025,1,Corolla,Verde,Sedán,29661.18702
10/16/2025,1,Yaris,Plateado,Pickup,26028.96976
10/16/2025,2,Mustang,Gris,Pickup,31015.9659
10/16/2025,1,RAV4,Negro,Pickup,29054.50892
10/16/2025,1,Yaris,Verde,Hatchback,29037.03582
10/16/2025,1,RAV4,Plateado,Sedán,27667.5695
10/16/2025,2,Ranger,Naranja,Pickup,31440.87198
10/16/2025,2,Mustang,Negro,SUV,30702.64047
10/16/2025,4,Creta,Azul,SUV,26014.06873
10/16/2025,3,Serie 5,Rojo,Coupé,64817.705
10/16/2025,3,X5,Azul,Pickup,60667.51085
10/16/2025,2,Focus,Negro,Pickup,31983.49605
10/16/2025,4,Elantra,Azul,Camioneta,25644.07138
10/16/2025,3,Z4,Plateado,Coupé,60401.7757
10/16/2025,2,Escape,Gris,Camioneta,33589.3047
10/16/2025,2,Explorer,Plateado,Pickup,32059.0701
10/16/2025,1,Hilux,Gris,Camioneta,27071.15033
10/16/2025,3,Z4,Blanco,Pickup,59668.3974
10/16/2025,2,Mustang,Verde,Pickup,31611.14827
10/16/2025,4,Santa Fe,Naranja,SUV,21932.47583
10/16/2025,2,Mustang,Negro,Hatchback,31646.4437
10/16/2025,2,Ranger,Blanco,Coupé,35214.6634
10/16/2025,4,Santa Fe,Azul,Coupé,25686.3661
10/16/2025,1,Yaris,Naranja,Hatchback,27657.67239
10/16/2025,1,Corolla,Negro,Coupé,27518.89177
10/16/2025,3,Serie 3,Rojo,SUV,57499.5137
10/16/2025,2,Focus,Verde,SUV,29570.47825
10/16/2025,1,Camry,Verde,Coupé,28366.83522
10/16/2025,3,Serie 3,Rojo,Coupé,60412.04803
10/16/2025,2,Focus,Rojo,Hatchback,31402.9175
10/16/2025,3,Serie 5,Azul,Pickup,62447.22942
10/16/2025,3,Serie 3,Verde,SUV,56439.323
10/16/2025,3,Z4,Negro,Sedán,62915.59833
10/16/2025,2,Escape,Azul,SUV,31375.293
10/16/2025,4,Elantra,Blanco,Camioneta,26505.24785
10/16/2025,4,Tucson,Negro,Camioneta,26077.9167
10/16/2025,3,Serie 5,Naranja,SUV,60632.3971
10/16/2025,3,X3,Azul,SUV,55836.1898
10/16/2025,4,Kona,Rojo,Sedán,22931.43876
10/16/2025,2,Focus,Naranja,Coupé,33001.2563
10/16/2025,2,Focus,Rojo,Sedán,32575.2916
10/16/2025,3,Z4,Plateado,SUV,57294.12944
10/16/2025,2,Mustang,Rojo,Sedán,34980.236
10/16/2025,3,Serie 3,Verde,Pickup,62227.6774
10/16/2025,1,Yaris,Blanco,SUV,28589.1316
10/16/2025,1,Yaris,Naranja,Pickup,26401.71864
10/16/2025,1,Corolla,Verde,Camioneta,30860.6388
10/16/2025,2,Focus,Plateado,Pickup,32658.25505
10/16/2025,1,RAV4,Rojo,Hatchback,29560.10916
10/16/2025,2,Mustang,Gris,SUV,30991.9237
10/16/2025,1,RAV4,Gris,Hatchback,29566.06585
10/16/2025,3,Serie 3,Blanco,SUV,64650.9439
10/16/2025,4,Tucson,Gris,Sedán,25106.9679
10/16/2025,3,X3,Naranja,Camioneta,59779.1418
10/16/2025,2,Ranger,Gris,SUV,30350.79953
10/16/2025,1,RAV4,Azul,Pickup,29361.62332
10/16/2025,3,X3,Rojo,Camioneta,64182.1335
10/16/2025,3,X3,Negro,Hatchback,59932.3281
10/16/2025,4,Kona,Verde,Sedán,23151.39683
10/16/2025,3,X5,Gris,Coupé,67818.731
10/16/2025,4,Santa Fe,Verde,Sedán,26205.16655
10/16/2025,3,X5,Azul,SUV,58814.38713
10/16/2025,3,Z4,Negro,Coupé,57639.10025
10/16/2025,2,Escape,Rojo,Camioneta,32001.1609
10/16/2025,1,Camry,Plateado,Camioneta,26366.97092
10/16/2025,4,Kona,Negro,Coupé,26010.4941
10/16/2025,2,Focus,Gris,Sedán,31069.41165
10/16/2025,2,Focus,Negro,Sedán,30521.25297
10/16/2025,4,Santa Fe,Plateado,Camioneta,25304.91316
10/16/2025,3,Z4,Verde,Coupé,67758.4575
10/16/2025,2,Ranger,Blanco,Sedán,32567.86893
10/16/2025,4,Elantra,Azul,Pickup,25289.59838
10/16/2025,4,Tucson,Negro,Hatchback,25810.337
10/16/2025,3,X5,Negro,SUV,58624.59399
10/16/2025,1,Hilux,Azul,Camioneta,28390.4623
10/16/2025,2,Explorer,Rojo,Sedán,32937.10273
10/16/2025,2,Focus,Rojo,SUV,28288.68515
10/16/2025,4,Elantra,Rojo,Camioneta,24245.8137
10/16/2025,3,X5,Rojo,SUV,63668.2836
10/16/2025,2,Ranger,Gris,Sedán,31707.28338
10/16/2025,2,Focus,Verde,Pickup,31500.3668
10/16/2025,3,Serie 3,Blanco,Camioneta,63797.7858
10/16/2025,2,Mustang,Plateado,Camioneta,31479.54043
10/16/2025,2,Mustang,Gris,Coupé,31552.8182
10/16/2025,4,Elantra,Azul,SUV,26285.54996
10/16/2025,4,Kona,Blanco,SUV,23755.8273
10/16/2025,4,Tucson,Azul,Hatchback,25277.7264
10/16/2025,4,Kona,Blanco,Pickup,24277.0295
10/16/2025,1,Hilux,Rojo,Hatchback,27753.6496
10/16/2025,1,Camry,Gris,Camioneta,28821.05652
10/16/2025,3,Serie 5,Verde,SUV,56644.24716
10/16/2025,4,Creta,Plateado,Pickup,23305.10972
10/16/2025,1,Corolla,Naranja,Camioneta,27926.88985
10/16/2025,4,Santa Fe,Naranja,Camioneta,21840.99413
10/16/2025,3,Serie 3,Azul,Camioneta,62317.36595
10/16/2025,4,Kona,Plateado,Coupé,25871.62926
10/16/2025,3,Serie 3,Azul,Hatchback,59481.18145
10/16/2025,2,Focus,Azul,Sedán,30827.44945
10/16/2025,3,Z4,Gris,Coupé,68676.1032
10/16/2025,4,Kona,Rojo,SUV,25635.5914
10/16/2025,1,RAV4,Negro,Sedán,27830.48528
10/16/2025,1,RAV4,Negro,SUV,31010.0315
10/16/2025,2,Mustang,Rojo,SUV,30545.463
10/16/2025,3,X3,Gris,Camioneta,62737.1235
10/16/2025,2,Ranger,Negro,Hatchback,32654.50971
10/16/2025,4,Creta,Naranja,Sedán,24199.3696
10/16/2025,3,Serie 3,Naranja,SUV,62030.04565
10/16/2025,3,Serie 3,Gris,SUV,64664.9225
10/16/2025,4,Creta,Negro,SUV,26188.2083
10/16/2025,2,Escape,Gris,Pickup,33216.9208
10/16/2025,4,Tucson,Azul,Coupé,27445.2313
10/16/2025,3,X5,Plateado,SUV,59659.60083
10/16/2025,3,Z4,Verde,SUV,63532.87721
10/16/2025,3,X5,Azul,Camioneta,56953.54293
10/16/2025,1,Corolla,Gris,Hatchback,27078.02662
10/16/2025,3,Serie 5,Azul,SUV,56734.2155
10/16/2025,3,Z4,Blanco,SUV,60074.9557
10/16/2025,4,Santa Fe,Rojo,Sedán,24872.90143
10/16/2025,3,Serie 5,Blanco,Pickup,58744.35837
10/16/2025,3,Serie 3,Naranja,Hatchback,59346.40135
10/16/2025,4,Creta,Rojo,Pickup,23960.92252
10/16/2025,2,Focus,Azul,Camioneta,31430.96045
10/16/2025,4,Creta,Verde,Sedán,25522.62804
10/16/2025,3,Serie 3,Azul,SUV,58899.0688
10/16/2025,3,Serie 5,Azul,Coupé,63034.813
